Numero troncon;Num Noeud Origine;Num Noeud Destination;Type BPR;LONG (km);CAPATI (veh/h);V0TI (km/h)
24280;307681405;979015204;3;0,021903;2000;70
24281;307681405;979015314;3;0,01737;2000;70
24282;307681406;1829720901;3;0,017804;2000;70
24283;979015267;307681406;4;0,254852;800;50
24284;979015314;307681406;3;0,013771;2000;70
24285;313889823;307998659;3;0,201143;2000;70
24286;307998659;313889823;3;0,201143;2000;70
24287;313893049;307998659;3;0,086176;2000;70
24288;307998659;313893049;3;0,086176;2000;70
24289;313975442;307998709;3;0,324276;2000;70
24290;307998709;313975442;3;0,324276;2000;70
24291;861781256;307998709;3;0,322552;2000;70
24292;307998709;861781256;3;0,322552;2000;70
24293;307998747;307998709;3;0,207716;2000;70
24294;307998709;307998747;3;0,207716;2000;70
24295;313889349;307998747;3;0,04914;2000;70
24296;307998747;313889349;3;0,04914;2000;70
24297;1838147154;308222420;3;0,071824;2000;70
24298;308222420;1838147154;3;0,071824;2000;70
24299;2504470841;308222450;3;0,088152;2000;70
24300;308222450;2504470841;3;0,088152;2000;70
24301;308222757;308222450;3;0,203138;2000;70
24302;308222450;308222757;3;0,203138;2000;70
24303;308222454;308222484;3;0,017752;2000;70
24304;308222695;308222454;3;0,051997;2000;70
24305;308222454;308222695;3;0,051997;2000;70
24306;308222490;308222454;3;0,014511;2000;70
24307;308222484;308222486;3;0,021176;2000;70
24308;308222486;308222490;3;0,027394;2000;70
24309;2419596842;308222486;3;0,261104;2000;70
24310;308222486;2419596842;3;0,261104;2000;70
24311;2504470841;308222695;3;0,159733;2000;70
24312;308222695;2504470841;3;0,159733;2000;70
24313;308222984;308222757;3;0,006325;2000;70
24314;308222757;308222984;3;0,006325;2000;70
24315;597695431;308222984;3;0,352555;2000;70
24316;308222984;597695431;3;0,352555;2000;70
24317;7216569280;308223359;3;1,382031;2000;70
24318;308223359;7216569280;3;1,382031;2000;70
24319;308490140;308223359;3;0,174428;2000;70
24320;308223359;308490140;3;0,174428;2000;70
24321;308223414;7216569280;3;0,022643;2000;70
24322;7216569277;308223414;3;0,014126;2000;70
24323;308489096;308224281;3;0,01396;2000;70
24324;308224281;308489096;3;0,01396;2000;70
24325;308224281;7377118773;3;0,021033;2000;70
24326;308489096;308224301;3;1,122776;2000;70
24327;308224301;308489096;3;1,122776;2000;70
24328;10936845225;308224301;3;0,663656;2000;70
24329;308224301;10936845225;3;0,663656;2000;70
24330;1648587280;308283123;3;0,0207;2000;70
24331;308283123;1648587280;3;0,0207;2000;70
24332;308726544;308283123;3;0,164374;2000;70
24333;308283123;308726544;3;0,164374;2000;70
24334;6586992439;308283130;3;0,104187;2000;70
24335;308283130;6586992439;3;0,104187;2000;70
24336;308658695;308283130;3;0,033593;2000;70
24337;308283130;308658695;3;0,033593;2000;70
24338;308283136;308609393;3;0,033595;2000;70
24339;308283139;308283136;3;0,133212;2000;70
24340;308283136;308283139;3;0,133212;2000;70
24341;308653182;308283136;3;0,01622;2000;70
24342;5480638532;308283139;3;0,213026;2000;30
24343;308283139;5480638532;3;0,213026;2000;30
24344;308283149;308646913;3;0,037629;2000;70
24345;311281402;308283149;3;0,188415;2000;70
24346;308283149;311281402;3;0,188415;2000;70
24347;308646524;308283149;3;0,040634;2000;70
24348;1382864198;308283151;3;0,392081;3000;70
24349;308283151;1382864198;3;0,392081;3000;70
24350;309562794;308283153;3;1,421236;2000;70
24351;308283153;309562794;3;1,421236;2000;70
24352;308646524;308283153;3;1,421272;2000;70
24353;308283153;308646524;3;1,421272;2000;70
24354;308646913;308283164;3;0,55681;2000;70
24355;308283164;308646913;3;0,55681;2000;70
24356;3507402319;308283164;3;0,450735;2000;70
24357;308283164;3507402319;3;0,450735;2000;70
24358;639266454;308464053;3;0,207118;2000;70
24359;308464053;639266454;3;0,207118;2000;70
24360;656720348;308464053;3;0,105412;2000;70
24361;308464053;656720348;3;0,105412;2000;70
24362;656720348;308464467;3;0,049837;2000;70
24363;308464467;656720348;3;0,049837;2000;70
24364;1757183041;308464587;3;0,387187;2000;70
24365;308464587;1757183041;3;0,387187;2000;70
24366;639266454;308464587;3;0,062725;2000;70
24367;308464587;639266454;3;0,062725;2000;70
