Num‚ro de noeud;X;Y
247889069;-0,5762994;44,8739956
247889156;-0,5767179;44,8753748
247889158;-0,5768376;44,8739681
247889554;-0,5997969;44,8729118
247889708;-0,5973749;44,8693861
247889710;-0,5982455;44,8705777
247889943;-0,6029551;44,8703631
247889946;-0,6030218;44,8704348
247890033;-0,6028474;44,8703999
247890037;-0,5992381;44,870243
247987743;-0,6352731;44,8571761
247987752;-0,6296403;44,8565033
247987756;-0,630586;44,8567232
248204932;-0,5656095;44,8915179
248204997;-0,5660688;44,889947
248205032;-0,565565;44,8907476
248205143;-0,5602929;44,8882792
248205149;-0,5596196;44,888038
248206378;-0,6232934;44,8582721
248207489;-0,6392868;44,8426314
248207499;-0,6395089;44,8430393
248485363;-0,6076988;44,8509634
248485364;-0,605494;44,8502947
248485365;-0,6066453;44,848108
248487311;-0,5702372;44,8433225
248491253;-0,5681316;44,8524552
248561102;-0,5774571;44,8447533
248561104;-0,5743636;44,8428938
248561105;-0,5744114;44,8431403
248561513;-0,577765;44,8450409
248729655;-0,6214774;44,8470189
248729656;-0,6229505;44,8473408
248729715;-0,6229643;44,8464484
248729879;-0,6245402;44,8473621
248729933;-0,6178099;44,8457564
248729935;-0,6193544;44,846304
248730002;-0,6182502;44,8481332
248730080;-0,616785;44,8483766
249280322;-0,6237174;44,8473426
249283256;-0,6141292;44,8546925
249283451;-0,6164467;44,8559601
249283498;-0,6150852;44,8555414
249283501;-0,6165605;44,8559941
249283524;-0,6172694;44,8562129
249283711;-0,6184458;44,8565746
249283733;-0,6143223;44,8539285
249693676;-0,5797359;44,8325118
249694093;-0,5762863;44,8439212
249794293;-0,5843554;44,8582588
249794297;-0,5860071;44,8618181
249795788;-0,582406;44,8632722
249799832;-0,5664301;44,8698381
249799854;-0,5653076;44,8638172
249799855;-0,5663441;44,863754
249799873;-0,5680039;44,8642101
249799876;-0,5683872;44,8643163
249799891;-0,5719774;44,8651149
249799893;-0,5722459;44,8652664
249799894;-0,5723404;44,8651901
249799895;-0,5723076;44,8650611
249803898;-0,5753387;44,8661556
249804141;-0,5831242;44,8549961
249804142;-0,5840023;44,8549487
249804150;-0,5790508;44,8566786
249804154;-0,5821477;44,8550019
249804155;-0,5823605;44,8545298
249804229;-0,5782351;44,8558226
249804233;-0,5834201;44,8505425
249804237;-0,5810588;44,8523298
249804377;-0,581372;44,8515384
249804378;-0,5787802;44,8520905
249804424;-0,5804643;44,8527683
249804932;-0,5783619;44,8517439
249804938;-0,5815317;44,8510695
249804941;-0,5878172;44,8470094
249804942;-0,5882542;44,8457182
249804943;-0,5889178;44,8441608
249805088;-0,5840677;44,8555727
249805089;-0,580018;44,8530974
249805091;-0,5778212;44,8509605
249805123;-0,5786889;44,8520158
249805124;-0,5780527;44,8513614
249810101;-0,5686772;44,8688972
249810521;-0,5656616;44,8721852
249810951;-0,5661168;44,8699706
249811600;-0,5695355;44,8771505
249811601;-0,5694646;44,8769881
249812099;-0,5751462;44,874057
249812154;-0,570456;44,8743205
249840139;-0,5676696;44,8383903
250108906;-0,636631;44,829601
250152517;-0,5636228;44,8555555
250152713;-0,5668937;44,8583283
250152714;-0,5701452;44,8610964
250153033;-0,560433;44,8628658
250153494;-0,5533536;44,8405002
250153495;-0,5520097;44,8406166
250153497;-0,548711;44,8410035
250153498;-0,5454916;44,8418471
250153647;-0,5526108;44,8445766
250154771;-0,5856543;44,8423133
250154868;-0,5992104;44,8402233
250154924;-0,5985647;44,8333312
250154928;-0,5921069;44,8379469
250154929;-0,593063;44,8376484
250154931;-0,5959667;44,8368668
250155098;-0,5990802;44,8384723
250155100;-0,5964082;44,8404453
250155188;-0,5969615;44,8404014
250155211;-0,59817;44,8403057
250163726;-0,573868;44,8550516
250164027;-0,5587882;44,8611577
250164028;-0,5657385;44,8573476
250164031;-0,5593537;44,86176
250164174;-0,5566412;44,8588474
250165044;-0,582998;44,8425229
250165045;-0,5826617;44,8415122
250165225;-0,590176;44,8409335
250165568;-0,5872944;44,8393883
250165569;-0,5893675;44,8409934
250165571;-0,5900317;44,8415227
250165572;-0,5912374;44,842492
250165573;-0,59211;44,843623
250165575;-0,5918586;44,8451091
250165576;-0,5916703;44,8467318
250165578;-0,5918667;44,8485598
250165580;-0,5919838;44,8496802
250165582;-0,5924617;44,8524007
250166030;-0,5852217;44,8498138
250166076;-0,5858115;44,8502416
250166078;-0,5869381;44,8516281
250166079;-0,5883966;44,8533091
250166080;-0,5891864;44,8542359
250166082;-0,5910848;44,8569416
250166113;-0,5905982;44,8561118
250166121;-0,5839032;44,8473804
250166173;-0,5874189;44,8483833
250166174;-0,5956813;44,850745
250166179;-0,5831066;44,8414778
250166194;-0,58833;44,8441017
250166198;-0,5935858;44,8454586
250166200;-0,5946232;44,8470578
250181955;-0,5864088;44,8431462
250181956;-0,599327;44,8414378
250201236;-0,5759407;44,8442297
250201420;-0,5762737;44,8444663
250203093;-0,5801407;44,8458992
250203103;-0,5818671;44,8458485
250203105;-0,5840865;44,8457841
250203312;-0,5850927;44,8413241
250203313;-0,5845369;44,8419713
250203390;-0,5845271;44,8413679
250203391;-0,5843805;44,8401471
250203725;-0,5867271;44,8411977
250204190;-0,589918;44,841987
250204620;-0,589209;44,8387355
250206779;-0,5941821;44,8420973
250207087;-0,5944996;44,8455465
250207088;-0,5956513;44,8450346
250207091;-0,5993828;44,841988
250207122;-0,5939855;44,8418522
250207206;-0,5875463;44,8411343
250207513;-0,5880039;44,8463393
250207579;-0,5880435;44,8462149
250207859;-0,5876414;44,8476425
250209837;-0,5586471;44,8276701
250209881;-0,5768537;44,8448786
250209955;-0,568049;44,8298059
250209957;-0,5718418;44,8204756
250210289;-0,5724857;44,8222597
250219052;-0,5628244;44,8253663
250219054;-0,5607748;44,8281691
250220413;-0,5692165;44,8269228
250221108;-0,5659503;44,8167362
250221322;-0,5658191;44,8211833
250221323;-0,5658361;44,8217721
250221324;-0,5658373;44,8236671
250221328;-0,5675167;44,8268467
250221733;-0,575626;44,8272223
250222457;-0,5778877;44,83202
250222940;-0,5865681;44,8271744
250224775;-0,5717966;44,8550217
250228066;-0,5469393;44,8480777
250228067;-0,5469141;44,8415679
250228101;-0,551599;44,8452191
250228385;-0,5174179;44,8801632
250228388;-0,5178118;44,8799317
250228389;-0,5177442;44,8798059
250228392;-0,5171965;44,8798689
250228510;-0,5119938;44,8797825
250228804;-0,5452915;44,8753932
250228918;-0,5482508;44,8675603
250228977;-0,5671744;44,8624305
250229010;-0,5631823;44,8609348
250232009;-0,5885875;44,8248362
250232153;-0,5779928;44,8308378
250232187;-0,5757899;44,8274096
250232190;-0,5768642;44,830851
250232296;-0,5725695;44,825334
250232297;-0,5698976;44,8252483
250232452;-0,5724405;44,8212385
250232573;-0,5781281;44,8182701
250232668;-0,5801559;44,8230439
250232854;-0,5882242;44,8334649
250232980;-0,5825881;44,8362114
250232982;-0,5909654;44,8338039
250233039;-0,5929289;44,8488219
250286135;-0,5817182;44,8478218
250286143;-0,5862886;44,8464241
250286178;-0,5885609;44,834483
250286180;-0,5862777;44,8352048
250287574;-0,5811907;44,8298254
250287591;-0,5824668;44,8361069
250287698;-0,5872974;44,8377946
250287737;-0,5772384;44,8348683
